bill,prop_id,sections,note,identity_basis,bill_url
H1555,P-035,c.93M s.6,stricter: prohibition-with-exceptions for special categories,inferred-analytic,https://malegislature.gov/Bills/193/H1555
H1555,P-037,"c.93M ss.12,14",stricter: right to be forgotten with downstream notification,inferred-analytic,https://malegislature.gov/Bills/193/H1555
H1555,P-038,c.93M s.11,,inferred-analytic,https://malegislature.gov/Bills/193/H1555
H1555,P-041,"c.93M ss.20,22",,inferred-analytic,https://malegislature.gov/Bills/193/H1555
H1555,P-043,c.93M ss.29-30,stricter: adds mandatory AG prior consultation,inferred-analytic,https://malegislature.gov/Bills/193/H1555
H1555,P-051,c.93M s.5,,sole-carrier,https://malegislature.gov/Bills/193/H1555
H1555,P-052,c.93M s.13,,sole-carrier,https://malegislature.gov/Bills/193/H1555
H1555,P-053,c.93M s.16,,sole-carrier,https://malegislature.gov/Bills/193/H1555
H1555,P-054,c.93M s.17,,sole-carrier,https://malegislature.gov/Bills/193/H1555
H1555,P-055,"c.93M ss.18-19,23-24",,sole-carrier,https://malegislature.gov/Bills/193/H1555
H1555,P-056,c.93M s.21,,sole-carrier,https://malegislature.gov/Bills/193/H1555
H1555,P-057,c.93M s.26,,sole-carrier,https://malegislature.gov/Bills/193/H1555
H1555,P-058,c.93M ss.27-28,,sole-carrier,https://malegislature.gov/Bills/193/H1555
H1555,P-059,c.93M ss.31-33,,sole-carrier,https://malegislature.gov/Bills/193/H1555
H1555,P-060,c.93M ss.34-37,,sole-carrier,https://malegislature.gov/Bills/193/H1555
H1555,P-061,c.93M ss.38-44,,sole-carrier,https://malegislature.gov/Bills/193/H1555
H1555,P-062,"c.93M ss.45-52,56-57",,sole-carrier,https://malegislature.gov/Bills/193/H1555
H1555,P-063,c.93M ss.53-55,,sole-carrier,https://malegislature.gov/Bills/193/H1555
H1555,P-275,c.93M s.10,separate GDPR access article,inferred-analytic,https://malegislature.gov/Bills/193/H1555
H1555,P-276,c.93M s.15,separate GDPR portability article,inferred-analytic,https://malegislature.gov/Bills/193/H1555
H1566,P-305,new c.221D s.2,companion of S1133,verified-text-identical,https://malegislature.gov/Bills/193/H1566
H1566,P-306,new c.221D s.3(a),companion of S1133,verified-text-identical,https://malegislature.gov/Bills/193/H1566
H1566,P-307,new c.221D s.3(b)-(f),companion of S1133; private action attaches,verified-text-identical,https://malegislature.gov/Bills/193/H1566
H1572,P-215,c.265 s.43B,criminal-harassment penalties by reference; child-as-operator parent exception,inferred-analytic,https://malegislature.gov/Bills/193/H1572
H1653,P-131,"c.276 s.1B(a)-(e),(g),(k),(m); s.2A1/2(a); SECTION 3",identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H1653
H1653,P-132,c.276 s.1B(h)-(j),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H1653
H1653,P-133,c.276 s.1B(f),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H1653
H1653,P-134,c.276 s.1B(l),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H1653
H1653,P-135,c.276 s.1C,identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H1653
H1653,P-136,c.276 s.1D; s.2A1/2(b),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H1653
H1653,P-137,c.276 s.1E,identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H1653
H1653,P-138,"SECTIONS 4-5 (c.78 s.7, s.7A)",identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H1653
H1690,P-295,"new c.239 s.16(a)-(h),(j)-(k)",identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H1690
H1690,P-296,new c.239 s.16(i); c.93 s.52 amendment,identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H1690
H1707,P-226,SECTIONS 1-2 (c.214 s.3C),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H1707
H1728,P-171,"c.6 s.220(b),(l)",identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H1728
H1728,P-172,c.6 s.220(c),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H1728
H1728,P-173,c.6 s.220(d),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H1728
H1728,P-174,c.6 s.220(e),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H1728
H1728,P-175,c.6 s.220(f),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H1728
H1728,P-176,"c.6 s.220(g),(h)",identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H1728
H1728,P-177,"c.6 s.220(i),(j)",identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H1728
H1728,P-178,c.6 s.220(k),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H1728
H1745,P-266,SECTION 5 (c.265 s.43A(b) rewrite),as-filed version; no digitization (deepfake) coverage,verified-official-lineage,https://malegislature.gov/Bills/193/H1745
H1745,P-280,SECTION 5 (c.265 s.43A(b)(5)),,verified-official-lineage,https://malegislature.gov/Bills/193/H1745
H1791,P-255,c.258C s.15 (sole section),companion-grade match to S938 (Jaccard 0.827),verified-text-near-identical,https://malegislature.gov/Bills/193/H1791
H1809,P-215,c.272 s.108,variant: standalone penalty; child-as-occupant exception with restraining-order disqualifier; dealer and fleet carve-outs,inferred-analytic,https://malegislature.gov/Bills/193/H1809
H1873,P-310,c.149B s.2,,sole-carrier,https://malegislature.gov/Bills/193/H1873
H1873,P-311,c.149B s.2A,,sole-carrier,https://malegislature.gov/Bills/193/H1873
H1873,P-312,c.149B s.2B,,sole-carrier,https://malegislature.gov/Bills/193/H1873
H1873,P-313,c.149B s.2C(a)-(d),,sole-carrier,https://malegislature.gov/Bills/193/H1873
H1873,P-314,c.149B s.2C(e),includes de-identified worker data,sole-carrier,https://malegislature.gov/Bills/193/H1873
H1873,P-315,c.149B s.2C(f)-(h),,sole-carrier,https://malegislature.gov/Bills/193/H1873
H1873,P-316,c.149B s.2C(i),,sole-carrier,https://malegislature.gov/Bills/193/H1873
H1873,P-317,c.149B s.2C(j)-(k),,sole-carrier,https://malegislature.gov/Bills/193/H1873
H1873,P-320,c.149B ss.3-3B,,inferred-analytic,https://malegislature.gov/Bills/193/H1873
H1873,P-321,c.149B s.3C,,inferred-analytic,https://malegislature.gov/Bills/193/H1873
H1873,P-322,c.149B s.3D,,inferred-analytic,https://malegislature.gov/Bills/193/H1873
H1873,P-324,c.149B ss.4-4B,,sole-carrier,https://malegislature.gov/Bills/193/H1873
H1873,P-325,c.149B ss.4C-4D,,sole-carrier,https://malegislature.gov/Bills/193/H1873
H1873,P-326,"c.149B s.5, s.5C",,sole-carrier,https://malegislature.gov/Bills/193/H1873
H1873,P-350,c.149B s.2D(a),,sole-carrier,https://malegislature.gov/Bills/193/H1873
H1873,P-351,c.149B s.2D(b),,sole-carrier,https://malegislature.gov/Bills/193/H1873
H1873,P-352,"c.149B ss.2E(a),4E(a)",,sole-carrier,https://malegislature.gov/Bills/193/H1873
H1873,P-353,"c.149B ss.2E(c),4E(c)",,sole-carrier,https://malegislature.gov/Bills/193/H1873
H1873,P-361,"c.149B ss.2E(b),4E(b)",,sole-carrier,https://malegislature.gov/Bills/193/H1873
H1893,P-159,"SECTIONS 1,3 (c.15A s.45; c.75 s.48)",,sole-carrier,https://malegislature.gov/Bills/193/H1893
H1893,P-160,SECTION 2 (c.71 s.97),,sole-carrier,https://malegislature.gov/Bills/193/H1893
H1893,P-161,"SECTIONS 4-5 (c.149 ss.150,192)",,sole-carrier,https://malegislature.gov/Bills/193/H1893
H1939,P-367,new section (b)-(d),privilege with subsection (c)-(d) exceptions attaching,sole-carrier,https://malegislature.gov/Bills/193/H1939
H1986,P-165,sole resolve,study commission; data-practice charges in clauses (ii)-(iii),sole-carrier,https://malegislature.gov/Bills/193/H1986
H219,P-358,new c.6A s.16DD(e),,sole-carrier,https://malegislature.gov/Bills/193/H219
H219,P-359,new c.6A s.16DD(a),,sole-carrier,https://malegislature.gov/Bills/193/H219
H219,P-372,new c.6A s.16DD(d) (first sentence),,sole-carrier,https://malegislature.gov/Bills/193/H219
H219,P-373,new c.6A s.16DD(d) (standardized-application and provider-preference sentences),,sole-carrier,https://malegislature.gov/Bills/193/H219
H219,P-374,new c.6A s.16DD(d) (30-day card issuance sentence),,sole-carrier,https://malegislature.gov/Bills/193/H219
H219,P-375,new c.6A s.16DD(d) (final sentence),"presupposes the card P-374 issues, but binds a different party and is separately enforceable",sole-carrier,https://malegislature.gov/Bills/193/H219
H219,P-376,new c.6A s.16DD(b); SECTION 2 (new c.29 s.2RRRRR),the trust fund attaches to the fee it receives,sole-carrier,https://malegislature.gov/Bills/193/H219
H219,P-377,new c.6A s.16DD(c),,sole-carrier,https://malegislature.gov/Bills/193/H219
H281,P-091,SECTION 1 cl.(d),weakest variant: financial-account-access biometrics only,inferred-analytic,https://malegislature.gov/Bills/193/H281
H281,P-096,SECTION 1 (breach definition),"weaker: identity-theft/fraud risk only, embedded in definition",inferred-analytic,https://malegislature.gov/Bills/193/H281
H281,P-097,SECTION 3,weak/legacy variant; permits security-freeze fees,inferred-analytic,https://malegislature.gov/Bills/193/H281
H281,P-099,SECTION 2,H281 only,sole-carrier,https://malegislature.gov/Bills/193/H281
H281,P-100,SECTION 1,H281 only,sole-carrier,https://malegislature.gov/Bills/193/H281
H2991,P-294,sole section (SFI home-address restriction),"weaker than enacted 2024 c.248 s.27, which adds email/phone/family",inferred-analytic,https://malegislature.gov/Bills/193/H2991
H3003,P-297,sole section (demographic collection categories),enacted as 2023 c.28 s.7,inferred-analytic,https://malegislature.gov/Bills/193/H3003
H3003,P-298,"sole section (PII confidentiality, aggregate publication)",enacted as 2023 c.28 s.7,inferred-analytic,https://malegislature.gov/Bills/193/H3003
H3179,P-068,c.93 s.115 para.1,identical first paragraph to S218,verified-text-near-identical,https://malegislature.gov/Bills/193/H3179
H3179,P-069,c.93 s.115 para.2,H3179-only addition,sole-carrier,https://malegislature.gov/Bills/193/H3179
H326,P-224,c.93 s.116(f),,sole-carrier,https://malegislature.gov/Bills/193/H326
H326,P-225,c.93 s.117,,sole-carrier,https://malegislature.gov/Bills/193/H326
H3289,P-342,SECTIONS 1-2 (c.90 s.30A; c.147 s.30 para 12),companions,inferred-analytic,https://malegislature.gov/Bills/193/H3289
H3289,P-343,c.147 s.30 para 13,companions; license revocation attaches,inferred-analytic,https://malegislature.gov/Bills/193/H3289
H3306,P-302,new c.90 s.14C(e)(2),variant: images are municipal property; vendor may not use them for any other purpose,verified-text-identical,https://malegislature.gov/Bills/193/H3306
H3306,P-333,new c.90 s.14C(c)(1),"weaker: vendor RMV access limited to building the evidence file and delivering the citation, without H3336's security-protocol, background-check, encryption and annual-audit regime",verified-text-near-identical,https://malegislature.gov/Bills/193/H3306
H3306,P-371,new c.90 s.14C(e)(1),images obtainable only by court order outside enforcement or defense,verified-text-identical,https://malegislature.gov/Bills/193/H3306
H3306,P-379,new c.90 s.14C(e)(2),variant: 30-day non-violation / 1-year post-disposition destruction with annual attestation to the state secretary,verified-text-identical,https://malegislature.gov/Bills/193/H3306
H3306,P-380,new c.90 s.14C(b)(4),variant: best-efforts ('to the extent practicable'); no redaction duty,verified-text-identical,https://malegislature.gov/Bills/193/H3306
H331,P-340,c.93B s.4(c)(14),companions,verified-text-identical,https://malegislature.gov/Bills/193/H331
H331,P-341,c.93B s.4(c)(14) indemnification clause,companions,verified-text-identical,https://malegislature.gov/Bills/193/H331
H3336,P-302,new c.90 s.14C(e)(2),variant: recordings municipal property; vendor use ban,verified-text-identical,https://malegislature.gov/Bills/193/H3336
H3336,P-333,new c.90 s.14C(c)(1),,verified-text-near-identical,https://malegislature.gov/Bills/193/H3336
H3336,P-371,new c.90 s.14C(e)(1),images obtainable only by court order outside enforcement or defense,verified-text-identical,https://malegislature.gov/Bills/193/H3336
H3336,P-379,new c.90 s.14C(e)(2),variant: 30-day non-violation/1-year violation destruction with attestation,verified-text-identical,https://malegislature.gov/Bills/193/H3336
H3375,P-299,c.4 s.7 cl.26(w); c.90J s.8(c),"school-bus camera authorization, same regime",verified-text-identical,https://malegislature.gov/Bills/193/H3375
H3375,P-300,c.90J s.8(b),"school-bus camera authorization, same regime",verified-text-identical,https://malegislature.gov/Bills/193/H3375
H3375,P-302,c.90J s.8(e),"school-bus camera authorization, same regime",verified-text-identical,https://malegislature.gov/Bills/193/H3375
H3375,P-378,c.90J s.8(a),"school-bus camera authorization, same regime",verified-text-identical,https://malegislature.gov/Bills/193/H3375
H3375,P-379,c.90J s.8(a),"school-bus camera authorization, same regime; variant: destruction not more than 48 hours after final disposition",verified-text-identical,https://malegislature.gov/Bills/193/H3375
H3375,P-380,c.90J s.8(d),"school-bus camera authorization, same regime; variant: best-efforts ('to the extent practicable, additional efforts shall be made'), against the c.363 line's flat prohibition",verified-text-identical,https://malegislature.gov/Bills/193/H3375
H3393,P-299,c.4 s.7 cl.26(w); c.90J s.8(c),road-safety/bus-camera c.90J regime,verified-text-identical,https://malegislature.gov/Bills/193/H3393
H3393,P-300,c.90J s.8(b),road-safety/bus-camera c.90J regime,verified-text-identical,https://malegislature.gov/Bills/193/H3393
H3393,P-302,c.90J s.8(e),road-safety/bus-camera c.90J regime,verified-text-identical,https://malegislature.gov/Bills/193/H3393
H3393,P-378,c.90J s.8(a),road-safety/bus-camera c.90J regime,verified-text-identical,https://malegislature.gov/Bills/193/H3393
H3393,P-379,c.90J s.8(a),road-safety/bus-camera c.90J regime; variant: destruction not more than 48 hours after final disposition,verified-text-identical,https://malegislature.gov/Bills/193/H3393
H3393,P-380,c.90J s.8(d),"road-safety/bus-camera c.90J regime; variant: best-efforts ('to the extent practicable, additional efforts shall be made'), against the c.363 line's flat prohibition",verified-text-identical,https://malegislature.gov/Bills/193/H3393
H3404,P-196,c.90K Sec.2(c),variant: single exception (as required in a judicial proceeding) where H3431 enumerates several,inferred-analytic,https://malegislature.gov/Bills/193/H3404
H3404,P-205,c.90K Sec.3(a),,inferred-analytic,https://malegislature.gov/Bills/193/H3404
H3404,P-206,c.90K Sec.4,variant: warrant or production order; extends to vehicle data,inferred-analytic,https://malegislature.gov/Bills/193/H3404
H3404,P-207,c.90K Sec.5,variant: broader (ALPR/tolling/vehicle data; administrative proceedings),inferred-analytic,https://malegislature.gov/Bills/193/H3404
H3404,P-208,c.90K Sec.6(a)-(b),variant: treble or exemplary,inferred-analytic,https://malegislature.gov/Bills/193/H3404
H3404,P-210,c.90K Sec.3(b),,inferred-analytic,https://malegislature.gov/Bills/193/H3404
H3404,P-211,c.90K Sec.3(c),,inferred-analytic,https://malegislature.gov/Bills/193/H3404
H3404,P-212,c.90K Sec.6(c),,sole-carrier,https://malegislature.gov/Bills/193/H3404
H3404,P-214,"c.90K Secs.1,4",,sole-carrier,https://malegislature.gov/Bills/193/H3404
H3404,P-382,c.90K Sec.2(a),,sole-carrier,https://malegislature.gov/Bills/193/H3404
H3404,P-383,c.90K Sec.2(b),,sole-carrier,https://malegislature.gov/Bills/193/H3404
H3404,P-384,c.90K Sec.2(d),,sole-carrier,https://malegislature.gov/Bills/193/H3404
H3431,P-191,c.90J s.2,,sole-carrier,https://malegislature.gov/Bills/193/H3431
H3431,P-192,c.90J s.3,,sole-carrier,https://malegislature.gov/Bills/193/H3431
H3431,P-193,c.90J s.4,,sole-carrier,https://malegislature.gov/Bills/193/H3431
H3431,P-194,c.90J s.5,,sole-carrier,https://malegislature.gov/Bills/193/H3431
H3431,P-195,c.90J s.6,,sole-carrier,https://malegislature.gov/Bills/193/H3431
H3431,P-196,c.90J s.7,,inferred-analytic,https://malegislature.gov/Bills/193/H3431
H3431,P-197,"c.90J ss.8,10(b)",,sole-carrier,https://malegislature.gov/Bills/193/H3431
H3431,P-198,c.90J s.9,,sole-carrier,https://malegislature.gov/Bills/193/H3431
H3431,P-199,c.90J s.10(a),,sole-carrier,https://malegislature.gov/Bills/193/H3431
H3431,P-200,c.90J s.14,,sole-carrier,https://malegislature.gov/Bills/193/H3431
H3431,P-201,c.90J s.12,,sole-carrier,https://malegislature.gov/Bills/193/H3431
H3434,P-206,Sec.2(c)-(d),variant: felony-only; production order/preservation request; emergency notice to AG,inferred-analytic,https://malegislature.gov/Bills/193/H3434
H3434,P-208,Sec.4,variant: treble or exemplary,inferred-analytic,https://malegislature.gov/Bills/193/H3434
H3434,P-210,Sec.2,,inferred-analytic,https://malegislature.gov/Bills/193/H3434
H3434,P-211,Sec.3,,inferred-analytic,https://malegislature.gov/Bills/193/H3434
H3440,P-302,new c.90 s.14C(e)(2),variant: images are municipal property; vendor may not use them for any other purpose,verified-text-identical,https://malegislature.gov/Bills/193/H3440
H3440,P-371,new c.90 s.14C(e)(1),images obtainable only by court order outside enforcement or defense,verified-text-identical,https://malegislature.gov/Bills/193/H3440
H3440,P-379,new c.90 s.14C(e)(2),variant: 30-day non-violation / 1-year post-disposition destruction with annual attestation to the state secretary,verified-text-identical,https://malegislature.gov/Bills/193/H3440
H3440,P-380,new c.90 s.14C(b)(4),variant: best-efforts ('to the extent practicable'); no redaction duty,verified-text-identical,https://malegislature.gov/Bills/193/H3440
H3508,P-385,SECTION xx (new c.60 s.35A(a)),"omnibus carrier; s.35A(b) names the veteran service officer where H3524 names the veterans' agent, which is the notice channel and not the nondisclosure rule",inferred-analytic,https://malegislature.gov/Bills/193/H3508
H3524,P-385,SECTION 1 (new c.60 s.35A(a)),,inferred-analytic,https://malegislature.gov/Bills/193/H3524
H3524,P-386,SECTION 2 (c.62C s.21),,sole-carrier,https://malegislature.gov/Bills/193/H3524
H3548,P-291,inserted c.222 s.29 (amendment lines 740-744),House further-amendment stage of the FY23 supplemental,verified-official-lineage,https://malegislature.gov/Bills/193/H3548
H357,P-121,"c.93L ss.1,2(a),(b),(d),6; SECTIONS 2-3",identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H357
H357,P-122,c.93L s.2(c),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H357
H357,P-125,c.93L s.2(f),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H357
H357,P-126,c.93L s.2(i),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H357
H357,P-127,"c.93L s.2(g),(h)",identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H357
H357,P-128,c.93L s.3(a)-(c),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H357
H357,P-129,c.93L s.4,identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H357
H357,P-130,"c.93L ss.5,7",identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H357
H357,P-281,c.93L s.2(e)(1),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H357
H357,P-282,c.93L s.2(e)(2),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H357
H357,P-283,c.93L s.2(e)(4),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H357
H357,P-284,c.93L s.2(e)(3),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H357
H357,P-285,c.93L s.2(e)(5),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H357
H3597,P-320,c.149 s.105E(i) notice provisions,,inferred-analytic,https://malegislature.gov/Bills/193/H3597
H3597,P-322,new c.149 s.105E(i),practical-necessity and least-invasive test within just-cause bill,inferred-analytic,https://malegislature.gov/Bills/193/H3597
H3597,P-323,c.149 s.105E(j),work-speed data copy every 7 days; correction rights,inferred-analytic,https://malegislature.gov/Bills/193/H3597
H3637,P-344,new c.66A s.2C,private right of action (s.2C(b)(6)) attaches,sole-carrier,https://malegislature.gov/Bills/193/H3637
H3637,P-346,new c.66A s.2F,,sole-carrier,https://malegislature.gov/Bills/193/H3637
H3637,P-354,new c.66A s.2A,,sole-carrier,https://malegislature.gov/Bills/193/H3637
H3637,P-355,new c.66A s.2B,s.2E transparency attaches,sole-carrier,https://malegislature.gov/Bills/193/H3637
H3637,P-356,new c.66A s.2D,,sole-carrier,https://malegislature.gov/Bills/193/H3637
H377,P-247,c.93A1/2 ss.3-4,notice-only for incompatible-purpose processing,verified-text-identical,https://malegislature.gov/Bills/193/H377
H3831,P-070,c.7D s.14(1)(a)-(b),,sole-carrier,https://malegislature.gov/Bills/193/H3831
H3831,P-071,c.7D s.14(1)(c),,sole-carrier,https://malegislature.gov/Bills/193/H3831
H3831,P-072,c.7D s.14(1)(d),,sole-carrier,https://malegislature.gov/Bills/193/H3831
H3831,P-073,c.7D s.14(1)(e),,sole-carrier,https://malegislature.gov/Bills/193/H3831
H3831,P-074,c.7D s.13(e),,sole-carrier,https://malegislature.gov/Bills/193/H3831
H3831,P-075,c.7D s.14(1)(f)-(h),,sole-carrier,https://malegislature.gov/Bills/193/H3831
H3831,P-076,c.7D s.14(3),,sole-carrier,https://malegislature.gov/Bills/193/H3831
H386,P-241,c.93M s.2,identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H386
H386,P-242,c.93M s.3(1)-(3),identical companion; consent withdrawal right (s.4) attaches to this consent mechanism,verified-text-identical,https://malegislature.gov/Bills/193/H386
H386,P-243,c.93M s.3(4),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H386
H386,P-245,c.93M s.5,identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H386
H386,P-246,c.93M s.6,identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H386
H386,P-277,c.93M s.4,identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H386
H386,P-278,c.93M s.4,identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H386
H3863,P-256,SECTION 1 para.1,,sole-carrier,https://malegislature.gov/Bills/193/H3863
H3863,P-257,SECTION 1 para.1,,sole-carrier,https://malegislature.gov/Bills/193/H3863
H3863,P-258,SECTION 1 para.2,,sole-carrier,https://malegislature.gov/Bills/193/H3863
H3863,P-259,SECTION 1 para.3,,sole-carrier,https://malegislature.gov/Bills/193/H3863
H395,P-231,Sec.3(A),,sole-carrier,https://malegislature.gov/Bills/193/H395
H395,P-232,Sec.3(B),,sole-carrier,https://malegislature.gov/Bills/193/H395
H395,P-233,Sec.4(A),,sole-carrier,https://malegislature.gov/Bills/193/H395
H395,P-234,Sec.4(B),,sole-carrier,https://malegislature.gov/Bills/193/H395
H395,P-235,"Secs.4(C),5(B)",,sole-carrier,https://malegislature.gov/Bills/193/H395
H395,P-236,Sec.5(A),,sole-carrier,https://malegislature.gov/Bills/193/H395
H395,P-237,Sec.6,,sole-carrier,https://malegislature.gov/Bills/193/H395
H395,P-238,Sec.7,,sole-carrier,https://malegislature.gov/Bills/193/H395
H395,P-239,Sec.8,,sole-carrier,https://malegislature.gov/Bills/193/H395
H4040,P-297,2023 c.28 s.7 (new c.6A s.109),enacted vehicle (FY24 GAA),inferred-analytic,https://malegislature.gov/Bills/193/H4040
H4040,P-298,2023 c.28 s.7 (new c.6A s.109),enacted vehicle (FY24 GAA),inferred-analytic,https://malegislature.gov/Bills/193/H4040
H4115,P-266,SECTION 6 (c.265 s.43A(b) rewrite),Judiciary redraft; no digitization coverage,verified-official-lineage,https://malegislature.gov/Bills/193/H4115
H4115,P-280,SECTION 6 (c.265 s.43A(b)(5)),,verified-official-lineage,https://malegislature.gov/Bills/193/H4115
H4138,P-295,SECTION 47 (new c.239 s.15(a)-(d)),Affordable Homes filing stage; sealing regime variant,inferred-analytic,https://malegislature.gov/Bills/193/H4138
H4138,P-296,SECTION 47 (c.239 s.15 consumer-report provisions),Affordable Homes filing stage,inferred-analytic,https://malegislature.gov/Bills/193/H4138
H4166,P-299,s.8(c),"Cambridge home-rule petition, same regime",inferred-analytic,https://malegislature.gov/Bills/193/H4166
H4166,P-300,s.8(b),"Cambridge home-rule petition, same regime",inferred-analytic,https://malegislature.gov/Bills/193/H4166
H4166,P-302,s.8(e),"Cambridge home-rule petition, same regime",inferred-analytic,https://malegislature.gov/Bills/193/H4166
H4166,P-378,s.8(a),"Cambridge home-rule petition, same regime",inferred-analytic,https://malegislature.gov/Bills/193/H4166
H4166,P-379,s.8(a),Cambridge home-rule petition; variant: 48 hours after final disposition,inferred-analytic,https://malegislature.gov/Bills/193/H4166
H4166,P-380,s.8(d),Cambridge home-rule petition; variant: best-efforts,inferred-analytic,https://malegislature.gov/Bills/193/H4166
H4241,P-266,engrossed text of H4115 SECTION 6 lineage (API text empty; see c.118 s.6),House-engrossed vehicle,verified-official-lineage,https://malegislature.gov/Bills/193/H4241
H4241,P-280,"engrossed text (see c.118 s.6, s.43A(b)(5))",,verified-official-lineage,https://malegislature.gov/Bills/193/H4241
H4266,P-153,new c.66 s.22,redraft: H1283 text plus agency carve-out only,verified-official-lineage,https://malegislature.gov/Bills/193/H4266
H4287,P-299,s.8(c),Salem home-rule petition; variant: 'are not public record' rather than the clause 26 cross-reference,inferred-analytic,https://malegislature.gov/Bills/193/H4287
