item_type,a,b,question,excerpt_a,excerpt_b,sources
proposition_kinship,P-091,P-081,Biometric protection: 93H breach-law element vs standalone consent regime (different mechanism),any unique biological attribute or measurement that can be used to authenticate the identity of an individual,shall not collect or process an individual's biometric information for identification purposes unless it first,memo/atomization/family-biometric-breach.md
proposition_kinship,P-068,P-072,ISP opt-in consent: private franchised ISPs (S218/H3179) vs public ISP (H3831),without express written approval from the customer,not share data information with 3rd parties...or with opt-in consent of users,memo/atomization/family-mipsa-internet.md
proposition_kinship,P-076,P-131,Warrant for user data: public-ISP rule vs general stored-records regime,shall not be provided to law enforcement without a warrant,Except pursuant to a warrant issued by a justice of the superior court,memo/atomization/family-mipsa-internet.md; memo/atomization/family-location.md
proposition_kinship,P-183,P-171,Biometric analysis of drone data (S1557) vs LE biometric surveillance ban (FR bills); S1557 cross-references c.6 s.220,Facial recognition and other biometric matching technology shall not be used to analyze data produced by an unmanned,"unlawful for a law enforcement agency or officer to acquire, possess, access, use, assist with the use of",memo/atomization/family-facial-recognition.md
proposition_kinship,P-383,P-196,ALPR restrictions: c.90K retention cap (H3404) vs comprehensive access regime (H3431),retain ALPR data longer than 14 days except in connection with a specific criminal investigation,"a governmental entity may not access, search, review, disclose, or exchange ALPR data from any source",memo/atomization/family-driver-commercial.md; memo/atomization/family-facial-recognition.md
proposition_kinship,P-211,P-194,120-day retention/destruction: tolling data (H3434/H3404) vs ALPR data at EOPSS (H3431),permanently erase or destroy ... not later than 120 days following the date on which the tolling data was created,shall retain and store ALPR data transferred to it pursuant to section 4 for a period of 120 days,memo/atomization/family-driver-commercial.md; memo/atomization/family-facial-recognition.md
proposition_kinship,P-141,P-162,Targeted ads to minors: edtech school-data ban vs product-category ban on minor-directed services,"shall not ... engage in targeted advertising on the operator's site, service or application",shall not market or advertise a product or a service described in subsection (g),memo/atomization/family-student-education.md
proposition_kinship,P-015,P-162,Minors and targeted advertising: comprehensive-bill ban vs H80 product-category ban,may not engage in targeted advertising to any individual if the covered entity has knowledge that the individual is a covered minor,shall not market or advertise a product or a service described in subsection (g),memo/atomization/family-comprehensive-mdppa.md; memo/atomization/family-student-education.md
proposition_kinship,P-226,P-067,Doxing: general civil action (H1707/S971) vs police-officer criminal posting ban (H1428),"the person disseminated the personal information with the malicious intent to cause, aid, encourage or facilitate the harassment",shall publicly post or publicly display on the internet or make publicly available in any manner the personal information,memo/atomization/family-driver-commercial.md; memo/atomization/family-mipsa-internet.md
proposition_kinship,P-226,P-266,Interpersonal disclosure restrictions: doxing civil action vs NDII criminal offense (boundary-revision pairing),"the person disseminated the personal information with the malicious intent to cause, aid, encourage or facilitate the harassment","whoever knowingly distributes visual material depicting another person, either identifiable in the visual material or identified by the distributing person ... nude, partially nude or engaged in sexual conduct",memo/atomization/family-driver-commercial.md; data/link_targets.json
proposition_kinship,P-238,P-211,"Retention limits: ad-network 24-month vs tolling 120-day (same mechanism family, different targets)",for duration of a maximum of twenty-four months from the time of collection,permanently erase or destroy ... not later than 120 days following the date on which the tolling data was created,memo/atomization/family-driver-commercial.md
proposition_kinship,P-246,P-284,Sale bans: consumer health data vs location information,It shall be unlawful for a Regulated Entity to sell Consumer Health Data.,"sell, rent, trade, or lease location information to third parties",memo/atomization/family-health-govrecords.md; memo/atomization/family-location.md
proposition_kinship,P-035,P-242,Sensitive-data opt-in: comprehensive-bill gates vs consumer-health-data chapter,shall not otherwise process an individual's sensitive information without first obtaining the consent,shall not collect any Consumer Health Data except: (a) With consent from the consumer,memo/atomization/family-mipsa-internet.md; memo/atomization/family-health-govrecords.md
proposition_kinship,P-234,P-006,Sensitive data in advertising: ad-network opt-in (H395) vs MDPPA flat ban,"shall not use information about sensitive medical or financial data, sexual behavior or sexual orientation ... without the affirmative consent",process sensitive covered data for purposes of targeted advertising,memo/atomization/family-driver-commercial.md; memo/atomization/family-comprehensive-mdppa.md
proposition_identity,P-031:H1555,P-031:H60,"Is H1555 (c.93M s.3) the same smallest change as H60's version of P-031? Analytic judgment, not companion/redraft verified.","adequate, relevant and limited to what is necessary in relation to the purposes","adequate, relevant and limited to what is reasonably necessary in relation to the purposes",https://malegislature.gov/Bills/193/H1555; https://malegislature.gov/Bills/193/H60
proposition_identity,P-032:H1555,P-032:H60,"Is H1555 (c.93M s.4) the same smallest change as H60's version of P-032? Analytic judgment, not companion/redraft verified.",Processing shall be legal only if and to the extent that at least 1 of the following applies,Processing shall be lawful and in compliance with this chapter only if,https://malegislature.gov/Bills/193/H1555; https://malegislature.gov/Bills/193/H60
proposition_identity,P-033:H1555,P-033:H60,"Is H1555 (c.93M ss.7-9) the same smallest change as H60's version of P-033? Analytic judgment, not companion/redraft verified.","the controller shall, at the time when personal data is obtained, provide the data subject with all of the following","a reasonably accessible, clear and meaningful privacy notice",https://malegislature.gov/Bills/193/H1555; https://malegislature.gov/Bills/193/H60
proposition_identity,P-035:H1555,P-035:H60,"Is H1555 (c.93M s.6) the same smallest change as H60's version of P-035? Analytic judgment, not companion/redraft verified.","Processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs",shall not otherwise process an individual's sensitive information without first obtaining the consent,https://malegislature.gov/Bills/193/H1555; https://malegislature.gov/Bills/193/H60
proposition_identity,P-037:H1555,P-037:H60,"Is H1555 (c.93M ss.12,14) the same smallest change as H60's version of P-037? Analytic judgment, not companion/redraft verified.",the erasure of personal data concerning the data subject without undue delay,the right to request that a controller delete any personal information processed,https://malegislature.gov/Bills/193/H1555; https://malegislature.gov/Bills/193/H60
proposition_identity,P-038:H1555,P-038:H60,"Is H1555 (c.93M s.11) the same smallest change as H60's version of P-038? Analytic judgment, not companion/redraft verified.",the rectification of inaccurate personal data concerning the data subject,correct inaccurate personal information processed about the individual,https://malegislature.gov/Bills/193/H1555; https://malegislature.gov/Bills/193/H60
proposition_identity,P-041:H1555,P-041:H60,"Is H1555 (c.93M ss.20,22) the same smallest change as H60's version of P-041? Analytic judgment, not companion/redraft verified.",Processing by a processor shall be governed by a contract or other legal act,A contract between a controller and a processor shall govern the processor's procedures,https://malegislature.gov/Bills/193/H1555; https://malegislature.gov/Bills/193/H60
proposition_identity,P-043:H1555,P-043:H60,"Is H1555 (c.93M ss.29-30) the same smallest change as H60's version of P-043? Analytic judgment, not companion/redraft verified.",an assessment of the impact of the envisaged processing operations on the protection of personal data,carry out and document a risk assessment of the impact,https://malegislature.gov/Bills/193/H1555; https://malegislature.gov/Bills/193/H60
proposition_identity,P-081:H63,P-081:S195,"Is H63 (c.93M s.2(a)-(c); bill SECTION 2) the same smallest change as S195's version of P-081? Analytic judgment, not companion/redraft verified.",shall not collect or process an individual's biometric information for identification purposes unless it first,receives written consent executed by the subject of the biometric identifier or biometric information,https://malegislature.gov/Bills/193/H63; https://malegislature.gov/Bills/193/S195
proposition_identity,P-081:S195,P-081:H63,"Is S195 (c.93M s.2(b)) the same smallest change as H63's version of P-081? Analytic judgment, not companion/redraft verified.",receives written consent executed by the subject of the biometric identifier or biometric information,shall not collect or process an individual's biometric information for identification purposes unless it first,https://malegislature.gov/Bills/193/S195; https://malegislature.gov/Bills/193/H63
proposition_identity,P-082:H63,P-082:S195,"Is H63 (c.93M s.2(c)-(e)) the same smallest change as S195's version of P-082? Analytic judgment, not companion/redraft verified.",shall always maintain and make available to the individual a Biometric Privacy Policy,establishing a retention schedule and guidelines for permanently destroying biometric identifiers and biometric information,https://malegislature.gov/Bills/193/H63; https://malegislature.gov/Bills/193/S195
proposition_identity,P-082:S195,P-082:H63,"Is S195 (c.93M s.2(a)) the same smallest change as H63's version of P-082? Analytic judgment, not companion/redraft verified.",establishing a retention schedule and guidelines for permanently destroying biometric identifiers and biometric information,shall always maintain and make available to the individual a Biometric Privacy Policy,https://malegislature.gov/Bills/193/S195; https://malegislature.gov/Bills/193/H63
proposition_identity,P-083:H63,P-083:S195,"Is H63 (c.93M s.2(g)) the same smallest change as S195's version of P-083? Analytic judgment, not companion/redraft verified.","shall not disclose, cause to disclose, or otherwise disseminate or cause to disseminate an individual's biometric information","disclose, redisclose, or otherwise disseminate a person's or a customer's biometric identifier or biometric information unless",https://malegislature.gov/Bills/193/H63; https://malegislature.gov/Bills/193/S195
proposition_identity,P-083:S195,P-083:H63,"Is S195 (c.93M s.2(d)) the same smallest change as H63's version of P-083? Analytic judgment, not companion/redraft verified.","disclose, redisclose, or otherwise disseminate a person's or a customer's biometric identifier or biometric information unless","shall not disclose, cause to disclose, or otherwise disseminate or cause to disseminate an individual's biometric information",https://malegislature.gov/Bills/193/S195; https://malegislature.gov/Bills/193/H63
proposition_identity,P-084:H63,P-084:S195,"Is H63 (c.93M ss.1,2(h)) the same smallest change as S195's version of P-084? Analytic judgment, not companion/redraft verified.","It is unlawful for a covered entity, data processor, or third party to monetize an individual's biometric information.","sell, lease, trade, or otherwise profit from a person's or a customer's biometric identifier",https://malegislature.gov/Bills/193/H63; https://malegislature.gov/Bills/193/S195
proposition_identity,P-084:S195,P-084:H63,"Is S195 (c.93M s.2(c)) the same smallest change as H63's version of P-084? Analytic judgment, not companion/redraft verified.","sell, lease, trade, or otherwise profit from a person's or a customer's biometric identifier","It is unlawful for a covered entity, data processor, or third party to monetize an individual's biometric information.",https://malegislature.gov/Bills/193/S195; https://malegislature.gov/Bills/193/H63
proposition_identity,P-085:H63,P-085:S195,"Is H63 (c.93M s.2(f)) the same smallest change as S195's version of P-085? Analytic judgment, not companion/redraft verified.","store, transmit, and protect from disclosure all biometric data using the reasonable standard of care",in a manner that is the same as or more protective than the manner in which the private entity stores,https://malegislature.gov/Bills/193/H63; https://malegislature.gov/Bills/193/S195
proposition_identity,P-085:S195,P-085:H63,"Is S195 (c.93M s.2(e)) the same smallest change as H63's version of P-085? Analytic judgment, not companion/redraft verified.",in a manner that is the same as or more protective than the manner in which the private entity stores,"store, transmit, and protect from disclosure all biometric data using the reasonable standard of care",https://malegislature.gov/Bills/193/S195; https://malegislature.gov/Bills/193/H63
proposition_identity,P-088:H63,P-088:S195,"Is H63 (c.93M s.5) the same smallest change as S195's version of P-088? Analytic judgment, not companion/redraft verified.","liquidated damages of not less than 0.5% of the annual global revenue of the covered entity or $5,000","Damages pursuant to any said action shall be no less than $5,000 per violation or actual damages suffered",https://malegislature.gov/Bills/193/H63; https://malegislature.gov/Bills/193/S195
proposition_identity,P-088:S195,P-088:H63,"Is S195 (c.93M s.3) the same smallest change as H63's version of P-088? Analytic judgment, not companion/redraft verified.","Damages pursuant to any said action shall be no less than $5,000 per violation or actual damages suffered","liquidated damages of not less than 0.5% of the annual global revenue of the covered entity or $5,000",https://malegislature.gov/Bills/193/S195; https://malegislature.gov/Bills/193/H63
proposition_identity,P-091:H281,P-091:H76,"Is H281 (SECTION 1 cl.(d)) the same smallest change as H76's version of P-091? Analytic judgment, not companion/redraft verified.",biometric indicator of the consumer used to gain access to financial accounts of the consumer,data generated from the specific technical processing of an individual's unique biological or physiological patterns or characteristics,https://malegislature.gov/Bills/193/H281; https://malegislature.gov/Bills/193/H76
proposition_identity,P-091:S140,P-091:H281,"Is S140 (SECTIONS 1-3) the same smallest change as H281's version of P-091? Analytic judgment, not companion/redraft verified.",any unique biological attribute or measurement that can be used to authenticate the identity of an individual,biometric indicator of the consumer used to gain access to financial accounts of the consumer,https://malegislature.gov/Bills/193/S140; https://malegislature.gov/Bills/193/H281
proposition_identity,P-096:H281,P-096:H76,"Is H281 (SECTION 1 (breach definition)) the same smallest change as H76's version of P-096? Analytic judgment, not companion/redraft verified.",that creates an identifiable risk of identity theft or fraud,"presents a reasonably foreseeable risk of financial, physical, reputational or other cognizable harm to the resident",https://malegislature.gov/Bills/193/H281; https://malegislature.gov/Bills/193/H76
proposition_identity,P-097:H281,P-097:H76,"Is H281 (SECTION 3) the same smallest change as H76's version of P-097? Analytic judgment, not companion/redraft verified.",and any fees required to be paid to any of the consumer reporting agencies,"the date, estimated date, or estimated date range of the breach of security",https://malegislature.gov/Bills/193/H281; https://malegislature.gov/Bills/193/H76
proposition_identity,P-121:H4844,P-121:H357,"Is H4844 (c.93M ss.1,2(a); s.4(iii) consent rulemaking; bill SECTIONS 2-3) the same smallest change as H357's version of P-121? Analytic judgment, not companion/redraft verified.",may collect or process an individual's reproductive or gender-affirming care location information if: (i) a covered entity or service provider provides the individual with a copy of their location privacy policy; (ii) obtains consent from the individual,unlawful for a covered entity to collect or process an individual's location information except for a permissible purpose,https://malegislature.gov/Bills/193/H4844; https://malegislature.gov/Bills/193/H357
proposition_identity,P-122:H4844,P-122:H357,"Is H4844 (c.93M s.4(ii)) the same smallest change as H357's version of P-122? Analytic judgment, not companion/redraft verified.",any limitations or restrictions on the use of targeted advertisements by a covered entity or service provider,"a clear, conspicuous, and simple means to opt out of the processing of their location information",https://malegislature.gov/Bills/193/H4844; https://malegislature.gov/Bills/193/H357
proposition_identity,P-125:H4844,P-125:H357,"Is H4844 (c.93M s.2(c)) the same smallest change as H357's version of P-125? Analytic judgment, not companion/redraft verified.",the agency or official serves the covered entity or service provider with a valid warrant,serves the covered entity or service provider with a valid warrant or establishes the existence of exigent circumstances,https://malegislature.gov/Bills/193/H4844; https://malegislature.gov/Bills/193/H357
proposition_identity,P-127:H4844,P-127:H357,"Is H4844 (c.93M s.2(a)(i); s.4(i) policy-content rulemaking) the same smallest change as H357's version of P-127? Analytic judgment, not companion/redraft verified.",determining minimum requirements for inclusion in a location privacy policy,shall maintain and make available to the data subject a Location Privacy Policy,https://malegislature.gov/Bills/193/H4844; https://malegislature.gov/Bills/193/H357
proposition_identity,P-129:H4844,P-129:H357,"Is H4844 (c.93M s.4(v)) the same smallest change as H357's version of P-129? Analytic judgment, not companion/redraft verified.",prohibitions on adverse actions by a covered entity or service provider against an individual because the individual exercised,shall not take adverse action against an individual because the individual exercised or refused to waive,https://malegislature.gov/Bills/193/H4844; https://malegislature.gov/Bills/193/H357
proposition_identity,P-196:H3404,P-196:H3431,"Is H3404 (c.90K Sec.2(c)) the same smallest change as H3431's version of P-196? Analytic judgment, not companion/redraft verified.","disclose, sell or permit access to alpr data except as required in a judicial proceeding","a governmental entity may not access, search, review, disclose, or exchange alpr data from any source",https://malegislature.gov/Bills/193/H3404; https://malegislature.gov/Bills/193/H3431
proposition_identity,P-196:H3431,P-196:H3404,"Is H3431 (c.90J s.7) the same smallest change as H3404's version of P-196? Analytic judgment, not companion/redraft verified.","a governmental entity may not access, search, review, disclose, or exchange alpr data from any source","disclose, sell or permit access to alpr data except as required in a judicial proceeding",https://malegislature.gov/Bills/193/H3431; https://malegislature.gov/Bills/193/H3404
proposition_identity,P-205:H3404,P-205:S209,"Is H3404 (c.90K Sec.3(a)) the same smallest change as S209's version of P-205? Analytic judgment, not companion/redraft verified.",toll collection technologies shall only be used to identify the location of any vehicle for tolling purposes,shall not be used to identify the location of any vehicle for purposes other than charging and collecting,https://malegislature.gov/Bills/193/H3404; https://malegislature.gov/Bills/193/S209
proposition_identity,P-206:H3404,P-206:H3434,"Is H3404 (c.90K Sec.4) the same smallest change as H3434's version of P-206? Analytic judgment, not companion/redraft verified.","shall be shared with or provided to any law enforcement entity ... without a search warrant, or production order","comply with a search warrant, production order, or preservation request ... prosecution of a felony",https://malegislature.gov/Bills/193/H3404; https://malegislature.gov/Bills/193/H3434
proposition_identity,P-206:H3434,P-206:H3404,"Is H3434 (Sec.2(c)-(d)) the same smallest change as H3404's version of P-206? Analytic judgment, not companion/redraft verified.","comply with a search warrant, production order, or preservation request ... prosecution of a felony","shall be shared with or provided to any law enforcement entity ... without a search warrant, or production order",https://malegislature.gov/Bills/193/H3434; https://malegislature.gov/Bills/193/H3404
proposition_identity,P-207:H3404,P-207:S209,"Is H3404 (c.90K Sec.5) the same smallest change as S209's version of P-207? Analytic judgment, not companion/redraft verified.","shall not be admitted, offered or cited by any governmental entity for any purpose",shall be inadmissible in any criminal or civil proceeding,https://malegislature.gov/Bills/193/H3404; https://malegislature.gov/Bills/193/S209
proposition_identity,P-208:H3404,P-208:H3434,"Is H3404 (c.90K Sec.6(a)-(b)) the same smallest change as H3434's version of P-208? Analytic judgment, not companion/redraft verified.","liable for treble damages, or, in the alternative, exemplary damages","liable for treble damages, or, in the alternative, exemplary damages",https://malegislature.gov/Bills/193/H3404; https://malegislature.gov/Bills/193/H3434
proposition_identity,P-208:H3434,P-208:H3404,"Is H3434 (Sec.4) the same smallest change as H3404's version of P-208? Analytic judgment, not companion/redraft verified.","liable for treble damages, or, in the alternative, exemplary damages","liable for treble damages, or, in the alternative, exemplary damages",https://malegislature.gov/Bills/193/H3434; https://malegislature.gov/Bills/193/H3404
proposition_identity,P-210:H3404,P-210:H3434,"Is H3404 (c.90K Sec.3(b)) the same smallest change as H3434's version of P-210? Analytic judgment, not companion/redraft verified.","shall not access, search, review, disclose, or exchange tolling data","shall not access, search, review, disclose, or exchange tolling data in its possession",https://malegislature.gov/Bills/193/H3404; https://malegislature.gov/Bills/193/H3434
proposition_identity,P-210:H3434,P-210:H3404,"Is H3434 (Sec.2) the same smallest change as H3404's version of P-210? Analytic judgment, not companion/redraft verified.","shall not access, search, review, disclose, or exchange tolling data in its possession","shall not access, search, review, disclose, or exchange tolling data",https://malegislature.gov/Bills/193/H3434; https://malegislature.gov/Bills/193/H3404
proposition_identity,P-211:H3404,P-211:H3434,"Is H3404 (c.90K Sec.3(c)) the same smallest change as H3434's version of P-211? Analytic judgment, not companion/redraft verified.",permanently erase or destroy all tolling data ... not later than 120 days,permanently erase or destroy ... not later than 120 days following the date on which the tolling data was created,https://malegislature.gov/Bills/193/H3404; https://malegislature.gov/Bills/193/H3434
proposition_identity,P-211:H3434,P-211:H3404,"Is H3434 (Sec.3) the same smallest change as H3404's version of P-211? Analytic judgment, not companion/redraft verified.",permanently erase or destroy ... not later than 120 days following the date on which the tolling data was created,permanently erase or destroy all tolling data ... not later than 120 days,https://malegislature.gov/Bills/193/H3434; https://malegislature.gov/Bills/193/H3404
proposition_identity,P-215:H1572,P-215:H1809,"Is H1572 (c.265 s.43B) the same smallest change as H1809's version of P-215? Analytic judgment, not companion/redraft verified.","installs, conceals, or otherwise places for use an electronic mobile tracking device in or on a motor vehicle without the consent","knowingly installs, conceals or otherwise places or uses an electronic tracking device in or on a motor vehicle without the consent",https://malegislature.gov/Bills/193/H1572; https://malegislature.gov/Bills/193/H1809
proposition_identity,P-215:H1809,P-215:H1572,"Is H1809 (c.272 s.108) the same smallest change as H1572's version of P-215? Analytic judgment, not companion/redraft verified.","knowingly installs, conceals or otherwise places or uses an electronic tracking device in or on a motor vehicle without the consent","installs, conceals, or otherwise places for use an electronic mobile tracking device in or on a motor vehicle without the consent",https://malegislature.gov/Bills/193/H1809; https://malegislature.gov/Bills/193/H1572
proposition_identity,P-226:S1116,P-226:H1707,"Is S1116 (SECTION 2 (new c.214 s.3C); SECTION 1 (c.12 s.11H)) the same smallest change as H1707's version of P-226? Analytic judgment, not companion/redraft verified.","may pursue a cause of action for doxing ... intended to cause stalking, physical harm to person, or serious property damage","the person disseminated the personal information with the malicious intent to cause, aid, encourage or facilitate the harassment",https://malegislature.gov/Bills/193/S1116; https://malegislature.gov/Bills/193/H1707
proposition_identity,P-275:H1555,P-275:H60,"Is H1555 (c.93M s.10) the same smallest change as H60's version of P-275? Analytic judgment, not companion/redraft verified.",confirmation as to whether or not personal data concerning the data subject is being processed,the specific pieces of personal information that the controller has processed about the individual,https://malegislature.gov/Bills/193/H1555; https://malegislature.gov/Bills/193/H60
proposition_identity,P-276:H1555,P-276:H60,"Is H1555 (c.93M s.15) the same smallest change as H60's version of P-276? Analytic judgment, not companion/redraft verified.","in a structured, commonly used and machine-readable format",the specific pieces of personal information ... in a portable ... format,https://malegislature.gov/Bills/193/H1555; https://malegislature.gov/Bills/193/H60
proposition_identity,P-281:H4844,P-281:H357,"Is H4844 (c.93M s.2(b)(i)) the same smallest change as H357's version of P-281? Analytic judgment, not companion/redraft verified.",collect more precise reproductive or gender-affirming care location information than,collect more precise location information than necessary to carry out the permissible purpose,https://malegislature.gov/Bills/193/H4844; https://malegislature.gov/Bills/193/H357
proposition_identity,P-282:H4844,P-282:H357,"Is H4844 (c.93M s.2(b)(ii); s.4(iv) destruction rulemaking) the same smallest change as H357's version of P-282? Analytic judgment, not companion/redraft verified.",retain reproductive or gender-affirming care location information longer than necessary,retain location information longer than necessary to carry out the permissible purpose,https://malegislature.gov/Bills/193/H4844; https://malegislature.gov/Bills/193/H357
